======================================================================
GestureBridge — Dataset Curation Report
  practice                       usable=  9  total= 15
  prepare                        usable=  7  total= 11
  pull                           usable=  9  total= 18
  push                           usable=  6  total= 12
  put                            usable=  6  total= 11
  receive                        usable=  5  total=  8
  refuse                         usable=  6  total=  9
  remember                       usable=  7  total= 16
  ride                           usable=  8  total= 15
  rise                           usable=  7  total= 11
  run                            usable=  7  total= 17
  save                           usable=  8  total= 14
  say                            usable=  6  total= 10
  search                         usable=  5  total=  9
  see                            usable=  5  total= 11
  sell                           usable=  7  total= 12
  send                           usable=  5  total= 11
  share                          usable=  7  total= 16
  show                           usable=  9  total= 17
  sing                           usable=  5  total=  9
  sit                            usable=  6  total= 13
  sleep                          usable=  6  total= 14
  stand                          usable=  5  total= 11
  steal                          usable=  7  total= 11
  stop                           usable=  5  total= 11
  suggest                        usable=  6  total= 10
  take                           usable= 11  total= 17
  talk                           usable=  7  total= 14
  tell                           usable= 10  total= 18
  think                          usable=  7  total= 14
  throw                          usable=  7  total= 14
  trust                          usable=  6  total=  9
  visit                          usable=  9  total= 18
  wait                           usable= 10  total= 18
  walk                           usable= 11  total= 22
  warn                           usable=  5  total= 11
  win                            usable=  7  total= 14
  work                           usable= 10  total= 19

[Communication Verbs]  (7 words)
  announce                       usable=  5  total= 10
  convince                       usable= 10  total= 15
  disagree                       usable=  5  total= 10
  inform                         usable=  9  total= 17
  promise                        usable=  5  total= 11
  sign language                  usable=  5  total=  9
  translate                      usable=  7  total= 11

[Conjunctions & Connectors]  (27 words)
  about                          usable=  7  total= 15
  against                        usable=  5  total=  8
  also                           usable=  7  total= 11
  and                            usable=  5  total= 11
  another                        usable=  5  total=  9
  any                            usable=  5  total= 12
  around                         usable=  5  total=  8
  because                        usable= 10  total= 15
  between                        usable=  6  total=  7
  but                            usable=  7  total= 18
  during                         usable=  5  total= 11
  every                          usable=  5  total= 11
  for                            usable=  5  total= 12
  from                           usable=  7  total= 13
  if                             usable=  6  total= 10
  in                             usable=  7  total= 11
  instead                        usable=  5  total=  8
  not                            usable=  7  total= 14
  on                             usable=  5  total=  9
  out                            usable=  5  total=  9
  some                           usable=  7  total= 15
  then                           usable=  5  total= 10
  through                        usable=  5  total=  9
  to                             usable=  7  total= 11
  until                          usable=  7  total= 12
  with                           usable=  8  total= 17
  without                        usable=  7  total= 10

[Daily Activities]  (13 words)
  brush                          usable=  7  total= 10
  comb                           usable=  6  total= 11
  cook                           usable=  8  total= 18
  exercise                       usable=  5  total= 11
  get up                         usable=  6  total=  7
  play                           usable= 11  total= 19
  read                           usable=  6  total= 17
  rest                           usable=  6  total= 11
  teach                          usable=  7  total= 15
  wake up                        usable=  5  total=  8
  wash                           usable=  6  total= 11
  watch                          usable=  8  total= 12
  write                          usable= 10  total= 17

[Directions]  (22 words)
  above                          usable=  5  total=  9
  across                         usable=  6  total= 10
  back                           usable=  7  total= 14
  behind                         usable=  5  total= 14
  below                          usable=  6  total= 10
  bottom                         usable=  8  total= 11
  center                         usable=  7  total= 15
  down                           usable=  8  total= 13
  east                           usable=  8  total= 14
  far                            usable= 11  total= 16
  front                          usable=  8  total= 12
  inside                         usable=  6  total= 11
  left                           usable=  5  total=  9
  middle                         usable=  7  total=  9
  near                           usable=  9  total= 14
  north                          usable=  7  total= 14
  outside                        usable=  9  total= 12
  side                           usable=  5  total= 10
  south                          usable=  7  total= 15
  top                            usable=  6  total= 12
  up                             usable=  7  total= 11
  west                           usable=  8  total= 14

[Drinks]  (7 words)
  beer                           usable=  8  total= 12
  coffee                         usable=  7  total= 16
  milk                           usable=  5  total= 14
  soda                           usable=  6  total= 13
  tea                            usable=  7  total= 17
  water                          usable=  9  total= 18
  wine                           usable=  5  total= 11

[Emergency]  (10 words)
  accident                       usable= 13  total= 19
  arrest                         usable=  6  total= 11
  crash                          usable=  9  total= 15
  danger                         usable=  5  total=  7
  escape                         usable=  8  total= 13
  police                         usable=  8  total= 16
  rob                            usable=  8  total=  9
  shock                          usable=  9  total= 11
  siren                          usable=  6  total=  8
  war                            usable=  7  total= 15

[Emotions]  (26 words)
  afraid                         usable=  5  total=  8
  angry                          usable=  7  total= 11
  bored                          usable=  7  total= 13
  calm                           usable=  7  total= 11
  confused                       usable=  6  total=  8
  cry                            usable= 10  total= 17
  curious                        usable=  6  total= 10
  depressed                      usable=  5  total=  8
  embarrass                      usable=  6  total= 10
  excited                        usable=  6  total= 11
  guilty                         usable=  7  total= 11
  happy                          usable=  8  total= 16
  hope                           usable=  9  total= 15
  jealous                        usable=  8  total= 13
  joy                            usable=  5  total=  7
  laugh                          usable= 11  total= 17
  lonely                         usable=  6  total=  9
  love                           usable=  7  total= 12
  nervous                        usable=  7  total= 11
  pity                           usable=  5  total=  8
  proud                          usable=  5  total=  8
  sad                            usable=  8  total= 14
  shame                          usable=  5  total=  8
  smile                          usable=  7  total= 12
  tired                          usable=  7  total= 16
  worry                          usable=  5  total= 12

[Family]  (18 words)
  aunt                           usable=  7  total= 12
  brother                        usable= 11  total= 17
  cousin                         usable= 14  total= 23
  dad                            usable=  7  total= 10
  daughter                       usable= 10  total= 16
  family                         usable= 11  total= 20
  father                         usable=  7  total= 14
  grandfather                    usable=  7  total= 12
  grandmother                    usable=  7  total= 11
  husband                        usable=  7  total= 15
  mom                            usable=  7  total= 11
  mother                         usable= 11  total= 21
  nephew                         usable=  6  total= 14
  niece                          usable=  7  total= 14
  sister                         usable=  7  total= 14
  son                            usable= 10  total= 18
  uncle                          usable=  6  total= 13
  wife                           usable=  8  total= 18

[Food]  (45 words)
  apple                          usable= 11  total= 19
  bacon                          usable=  7  total= 12
  banana                         usable=  9  total= 15
  bread                          usable=  7  total= 13
  breakfast                      usable=  5  total=  7
  butter                         usable=  6  total= 11
  cake                           usable=  8  total= 12
  candy                          usable= 13  total= 24
  carrot                         usable=  9  total= 12
  cereal                         usable=  8  total= 14
  cheese                         usable=  7  total= 14
  chicken                        usable=  5  total= 13
  cookie                         usable=  8  total= 13
  corn                           usable= 12  total= 19
  dessert                        usable=  8  total= 11
  dinner                         usable=  7  total=  9
  egg                            usable=  7  total= 14
  fish                           usable= 10  total= 20
  food                           usable=  7  total= 12
  french fries                   usable=  6  total=  8
  fruit                          usable=  7  total= 10
  grapes                         usable=  7  total= 11
  hot dog                        usable=  5  total=  7
  ice cream                      usable=  7  total= 10
  lemon                          usable=  8  total= 13
  lettuce                        usable=  7  total= 13
  lunch                          usable=  6  total= 10
  meat                           usable=  8  total= 14
  mushroom                       usable=  5  total= 10
  onion                          usable=  8  total= 13
  peach                          usable=  6  total= 12
  peanut butter                  usable=  5  total=  8
  pepper                         usable=  7  total= 13
  pizza                          usable= 12  total= 19
  potato                         usable=  8  total= 14
  salad                          usable=  6  total= 12
  salt                           usable=  8  total= 15
  sandwich                       usable= 10  total= 15
  shrimp                         usable=  6  total= 10
  soup                           usable=  6  total= 12
  strawberry                     usable=  8  total=  9
  sugar                          usable=  7  total= 12
  toast                          usable= 10  total= 13
  tomato                         usable=  8  total= 15
  vegetable                      usable=  5  total= 10

[Greetings]  (8 words)
  bye                            usable=  5  total=  7
  good                           usable= 10  total= 16
  goodbye                        usable=  5  total= 10
  please                         usable=  7  total= 15
  sign                           usable=  9  total= 15
  sorry                          usable=  7  total= 14
  thank you                      usable=  7  total= 14
  welcome                        usable=  5  total= 10

[Home]  (28 words)
  basement                       usable=  6  total= 13
  bathroom                       usable=  7  total= 16
  bed                            usable= 13  total= 20
  bedroom                        usable=  6  total= 12
  blanket                        usable= 10  total= 16
  cabinet                        usable=  5  total=  8
  ceiling                        usable=  6  total=  8
  chair                          usable=  7  total= 26
  closet                         usable=  5  total=  7
  couch                          usable=  5  total= 10
  dining room                    usable=  5  total=  7
  door                           usable=  7  total= 17
  drawer                         usable=  7  total= 11
  floor                          usable=  6  total= 13
  home                           usable=  7  total= 16
  house                          usable=  7  total= 15
  kitchen                        usable=  7  total= 13
  pillow                         usable=  7  total= 11
  room                           usable= 11  total= 17
  shelf                          usable=  5  total=  9
  shower                         usable=  5  total= 12
  soap                           usable=  7  total= 13
  stairs                         usable=  6  total= 10
  table                          usable=  5  total= 21
  toilet                         usable=  5  total= 13
  towel                          usable=  5  total=  7
  wall                           usable=  5  total=  9
  window                         usable=  6  total= 16

[Medical]  (39 words)
  allergy                        usable=  8  total= 10
  appointment                    usable= 10  total= 13
  arm                            usable=  7  total= 11
  blind                          usable=  8  total= 13
  blood                          usable=  5  total=  9
  cough                          usable=  6  total= 14
  deaf                           usable= 11  total= 23
  dentist                        usable=  8  total= 13
  diabetes                       usable=  5  total=  8
  doctor                         usable= 10  total= 19
  ear                            usable=  8  total= 13
  eye                            usable=  6  total=  8
  headache                       usable=  9  total= 17
  health                         usable=  6  total=  9
  hearing                        usable=  8  total= 20
  hearing aid                    usable=  5  total=  9
  heart                          usable=  8  total= 14
  hospital                       usable=  7  total= 13
  hurt                           usable=  5  total= 12
  infection                      usable=  6  total=  8
  medicine                       usable=  8  total= 18
  mouth                          usable=  5  total= 10
  muscle                         usable=  5  total= 11
  neck                           usable=  6  total= 10
  nose                           usable=  6  total= 11
  nurse                          usable=  6  total= 14
  pain                           usable=  5  total= 10
  patient                        usable=  7  total= 14
  recover                        usable=  6  total=  7
  skin                           usable=  6  total=  8
  sore throat                    usable=  6  total=  8
  stomach                        usable=  7  total= 12
  surgery                        usable=  7  total= 13
  temperature                    usable=  8  total= 14
  therapy                        usable=  6  total= 12
  thermometer                    usable=  5  total=  9
  tongue                         usable=  5  total=  8
  tooth                          usable=  6  total=  9
  vomit                          usable=  9  total= 14

[Nature & Weather]  (14 words)
  cloud                          usable=  8  total= 12
  flower                         usable=  7  total= 14
  grass                          usable=  5  total=  8
  leaf                           usable=  6  total=  9
  lightning                      usable=  6  total=  8
  moon                           usable=  7  total= 14
  rain                           usable=  7  total= 13
  sky                            usable=  8  total= 11
  snow                           usable= 10  total= 17
  star                           usable=  7  total= 13
  sun                            usable=  6  total= 10
  tree                           usable=  6  total= 13
  warm                           usable=  5  total= 11
  wind                           usable=  8  total= 12

[Numbers]  (17 words)
  double                         usable=  6  total= 10
  eight                          usable=  6  total= 10
  eighteen                       usable=  6  total=  8
  five                           usable=  5  total=  7
  four                           usable=  5  total=  9
  half                           usable=  5  total= 10
  nine                           usable=  5  total=  7
  nineteen                       usable=  6  total=  8
  one                            usable=  8  total= 12
  quarter                        usable=  5  total=  7
  seven                          usable=  6  total=  9
  six                            usable=  6  total=  9
  sixteen                        usable=  6  total=  7
  ten                            usable=  5  total=  7
  thousand                       usable=  6  total= 10
  three                          usable=  7  total= 10
  two                            usable=  6  total= 10

[People]  (14 words)
  adult                          usable=  7  total= 12
  baby                           usable=  9  total= 14
  boy                            usable=  8  total= 15
  child                          usable=  9  total= 13
  children                       usable=  7  total= 15
  friend                         usable=  7  total= 16
  girl                           usable=  9  total= 15
  man                            usable= 12  total= 20
  member                         usable=  5  total=  8
  neighbor                       usable=  7  total= 12
  people                         usable=  6  total= 13
  person                         usable=  7  total= 16
  visitor                        usable=  5  total=  8
  woman                          usable= 11  total= 21

[Places]  (13 words)
  apartment                      usable=  6  total= 10
  church                         usable=  6  total= 13
  earth                          usable=  6  total= 10
  farm                           usable=  8  total=  9
  forest                         usable=  7  total= 11
  island                         usable=  6  total= 11
  mountain                       usable=  5  total= 10
  museum                         usable=  5  total= 11
  ocean                          usable=  5  total=  9
  prison                         usable=  6  total= 12
  restaurant                     usable=  7  total= 15
  river                          usable=  5  total= 10
  stadium                        usable=  6  total=  7

[Polite Expressions]  (9 words)
  fine                           usable=  9  total= 22
  help                           usable= 14  total= 22
  honest                         usable=  5  total=  9
  no                             usable= 11  total= 22
  ok                             usable=  7  total= 14
  right                          usable=  9  total= 18
  true                           usable=  5  total=  9
  wrong                          usable=  8  total= 20
  yes                            usable= 12  total= 22

[Pronouns]  (12 words)
  her                            usable=  8  total= 11
  herself                        usable=  7  total= 10
  my                             usable=  6  total= 12
  myself                         usable=  6  total=  9
  she                            usable=  6  total=  9
  their                          usable=  5  total= 10
  themselves                     usable=  7  total= 12
  they                           usable=  5  total=  9
  we                             usable=  7  total= 10
  you                            usable=  8  total= 16
  your                           usable=  6  total= 15
  yourself                       usable=  5  total= 10

[Quantifiers & Determiners]  (14 words)
  all                            usable=  8  total= 21
  almost                         usable=  5  total= 10
  both                           usable=  6  total= 12
  enough                         usable=  5  total= 10
  few                            usable=  5  total= 12
  less                           usable=  5  total=  9
  many                           usable= 10  total= 21
  more                           usable=  8  total= 15
  most                           usable=  7  total= 15
  much                           usable=  6  total= 11
  none                           usable=  7  total= 15
  only                           usable=  6  total=  9
  other                          usable=  5  total= 11
  together                       usable=  6  total= 11

[Questions]  (8 words)
  how                            usable=  9  total= 18
  question                       usable=  5  total= 10
  what                           usable= 12  total= 21
  when                           usable=  8  total= 14
  where                          usable=  7  total= 15
  which                          usable=  6  total= 14
  who                            usable= 14  total= 25
  why                            usable= 11  total= 17

[Religion & Culture]  (11 words)
  celebrate                      usable=  6  total= 10
  christmas                      usable=  8  total= 15
  easter                         usable=  7  total= 12
  funeral                        usable=  5  total=  9
  god                            usable=  7  total= 12
  parade                         usable=  6  total= 10
  pray                           usable=  6  total= 10
  religion                       usable=  7  total= 12
  spirit                         usable=  7  total= 11
  thanksgiving                   usable= 13  total= 21
  tradition                      usable=  5  total=  9

[School]  (34 words)
  algebra                        usable=  5  total=  8
  biology                        usable=  6  total= 10
  book                           usable=  6  total= 40
  calculator                     usable=  5  total=  8
  calculus                       usable=  5  total=  8
  chemistry                      usable=  6  total=  9
  class                          usable=  9  total= 17
  college                        usable=  7  total= 16
  curriculum                     usable=  6  total= 10
  diploma                        usable=  5  total=  9
  eraser                         usable=  5  total=  7
  geography                      usable=  7  total=  8
  graduate                       usable= 10  total= 20
  grammar                        usable=  9  total= 12
  homework                       usable=  5  total= 10
  keyboard                       usable=  6  total= 10
  lecture                        usable=  7  total= 11
  lesson                         usable=  6  total= 11
  library                        usable=  5  total= 12
  linguistics                    usable=  7  total=  9
  paper                          usable=  8  total= 18
  pencil                         usable=  5  total= 15
  physics                        usable=  6  total=  9
  principal                      usable=  5  total=  8
  professor                      usable=  5  total=  8
  project                        usable=  7  total= 10
  research                       usable=  7  total= 13
  school                         usable=  9  total= 19
  score                          usable= 11  total= 13
  student                        usable=  8  total= 15
  study                          usable= 10  total= 20
  teacher                        usable=  8  total= 17
  test                           usable=  8  total= 16
  university                     usable=  7  total= 12

[Shopping]  (7 words)
  auction                        usable=  5  total=  8
  cent                           usable=  6  total=  9
  dollar                         usable=  8  total= 11
  price                          usable=  6  total= 12
  shop                           usable=  6  total= 14
  store                          usable=  7  total= 10
  trade                          usable= 13  total= 16

[Sports]  (12 words)
  baseball                       usable=  6  total= 11
  basketball                     usable= 12  total= 18
  champion                       usable= 11  total= 14
  football                       usable=  9  total= 15
  golf                           usable=  7  total= 11
  race                           usable=  6  total=  9
  soccer                         usable=  5  total= 10
  swimming                       usable=  6  total=  7
  tennis                         usable=  6  total= 10
  tournament                     usable=  7  total= 10
  trophy                         usable=  5  total=  9
  volleyball                     usable=  5  total=  7

[Technology]  (4 words)
  laptop                         usable=  6  total=  8
  microphone                     usable=  5  total=  8
  network                        usable=  6  total=  8
  printer                        usable=  6  total= 10

[Time]  (33 words)
  afternoon                      usable=  7  total= 13
  ago                            usable=  9  total= 12
  anniversary                    usable=  5  total=  9
  april                          usable=  5  total=  8
  august                         usable=  6  total= 10
  autumn                         usable=  7  total= 10
  date                           usable=  5  total=  8
  december                       usable=  5  total=  8
  friday                         usable=  6  total= 12
  hour                           usable=  7  total= 14
  january                        usable=  5  total=  8
  june                           usable=  5  total=  8
  march                          usable=  7  total= 11
  minute                         usable=  9  total= 13
  monday                         usable=  6  total= 10
  month                          usable=  7  total= 14
  morning                        usable=  6  total= 13
  night                          usable=  5  total= 13
  november                       usable=  5  total=  8
  october                        usable=  5  total=  9
  saturday                       usable=  7  total= 14
  second                         usable=  6  total= 10
  september                      usable=  5  total=  8
  since                          usable=  8  total= 15
  spring                         usable=  6  total=  8
  summer                         usable=  7  total= 12
  sunday                         usable=  8  total= 16
  thursday                       usable= 11  total= 18
  tuesday                        usable=  7  total= 12
  wednesday                      usable=  8  total= 14
  week                           usable=  9  total= 17
  winter                         usable=  6  total= 10
  year                           usable= 10  total= 22

[Transportation]  (14 words)
  airplane                       usable=  7  total= 11
  arrive                         usable=  8  total= 15
  bicycle                        usable=  6  total= 10
  boat                           usable=  8  total= 11
  bus                            usable=  5  total= 11
  car                            usable=  7  total= 13
  highway                        usable=  7  total= 10
  motorcycle                     usable=  7  total= 13
  street                         usable=  6  total= 12
  subway                         usable=  5  total=  9
  traffic                        usable=  6  total= 14
  train                          usable=  9  total= 15
  travel                         usable=  9  total= 16
  truck                          usable=  6  total= 13

[Workplace]  (13 words)
  boss                           usable=  7  total= 11
  business                       usable=  7  total= 15
  email                          usable=  6  total= 12
  interview                      usable=  5  total= 10
  manager                        usable=  5  total=  9
  meeting                        usable=  6  total= 13
  office                         usable=  9  total= 15
  presentation                   usable=  8  total= 10
  resign                         usable=  5  total=  8
  retire                         usable=  7  total= 11
  salary                         usable=  5  total=  7
  schedule                       usable=  5  total= 12
  worker                         usable=  5  total=  8


REJECTED WORDS
----------------------------------------------------------------------
  airport                        usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  anyway                         usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  assignment                     usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  attack                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  bag                            usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  begin                          usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  bridge                         usable=  4  REASON: TOO FEW SAMPLES — only 4 usable video(s), minimum required is 5
  budget                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  client                         usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
  communicate                    usable=  0  REASON: NOT IN WLASL — word not found in WLASL_v0.3.json
