idx	word	category	usable_count
97	amazing	Common Adjectives	5
98	awful	Common Adjectives	8
99	bad	Common Adjectives	10
100	beautiful	Common Adjectives	7
101	big	Common Adjectives	9
102	bright	Common Adjectives	6
103	busy	Common Adjectives	5
104	cheap	Common Adjectives	7
105	clean	Common Adjectives	7
106	cold	Common Adjectives	12
107	cool	Common Adjectives	16
108	dangerous	Common Adjectives	6
109	dark	Common Adjectives	12
110	different	Common Adjectives	8
111	dirty	Common Adjectives	9
112	dry	Common Adjectives	9
113	early	Common Adjectives	6
114	easy	Common Adjectives	6
115	empty	Common Adjectives	5
116	expensive	Common Adjectives	8
117	fast	Common Adjectives	9
118	fat	Common Adjectives	10
119	final	Common Adjectives	5
120	first	Common Adjectives	9
121	full	Common Adjectives	10
122	funny	Common Adjectives	5
123	general	Common Adjectives	6
124	great	Common Adjectives	9
125	hard	Common Adjectives	6
126	heavy	Common Adjectives	5
127	hot	Common Adjectives	10
128	important	Common Adjectives	8
129	last	Common Adjectives	12
130	late	Common Adjectives	8
131	light	Common Adjectives	8
132	loud	Common Adjectives	6
133	new	Common Adjectives	9
134	next	Common Adjectives	5
135	nice	Common Adjectives	6
136	old	Common Adjectives	7
137	perfect	Common Adjectives	7
138	possible	Common Adjectives	8
139	pretty	Common Adjectives	5
140	quiet	Common Adjectives	7
141	ready	Common Adjectives	10
142	recent	Common Adjectives	7
143	rough	Common Adjectives	7
144	safe	Common Adjectives	5
145	same	Common Adjectives	9
146	short	Common Adjectives	13
147	sick	Common Adjectives	8
148	slow	Common Adjectives	8
149	small	Common Adjectives	8
150	smart	Common Adjectives	8
151	smooth	Common Adjectives	5
152	soft	Common Adjectives	8
153	special	Common Adjectives	8
154	specific	Common Adjectives	6
155	strange	Common Adjectives	7
156	strong	Common Adjectives	8
157	stupid	Common Adjectives	5
158	tall	Common Adjectives	13
159	terrible	Common Adjectives	6
160	thin	Common Adjectives	16
161	ugly	Common Adjectives	9
162	weak	Common Adjectives	7
163	wet	Common Adjectives	9
164	wonderful	Common Adjectives	6
165	art	Common Nouns	7
166	birthday	Common Nouns	6
167	camera	Common Nouns	5
168	card	Common Nouns	8
169	city	Common Nouns	9
170	clock	Common Nouns	5
171	community	Common Nouns	6
172	computer	Common Nouns	14
173	country	Common Nouns	9
174	day	Common Nouns	9
175	document	Common Nouns	7
176	event	Common Nouns	7
177	example	Common Nouns	11
178	experience	Common Nouns	7
179	fact	Common Nouns	6
180	form	Common Nouns	9
181	game	Common Nouns	6
182	government	Common Nouns	10
183	history	Common Nouns	8
184	idea	Common Nouns	8
185	image	Common Nouns	5
186	information	Common Nouns	7
187	internet	Common Nouns	8
188	key	Common Nouns	6
189	language	Common Nouns	10
190	law	Common Nouns	7
191	letter	Common Nouns	11
192	list	Common Nouns	9
193	math	Common Nouns	7
194	message	Common Nouns	5
195	mirror	Common Nouns	8
196	money	Common Nouns	6
197	music	Common Nouns	8
198	name	Common Nouns	6
199	number	Common Nouns	5
200	party	Common Nouns	9
201	phone	Common Nouns	5
202	picture	Common Nouns	6
203	place	Common Nouns	5
204	point	Common Nouns	9
205	problem	Common Nouns	9
206	radio	Common Nouns	6
207	reason	Common Nouns	7
208	result	Common Nouns	7
209	science	Common Nouns	7
210	sentence	Common Nouns	7
211	song	Common Nouns	5
212	story	Common Nouns	7
213	team	Common Nouns	6
214	technology	Common Nouns	5
215	television	Common Nouns	6
216	thing	Common Nouns	6
217	ticket	Common Nouns	6
218	time	Common Nouns	8
219	topic	Common Nouns	7
220	town	Common Nouns	9
221	trip	Common Nouns	5
222	vacation	Common Nouns	6
223	way	Common Nouns	5
224	wedding	Common Nouns	7
225	word	Common Nouns	8
226	world	Common Nouns	6
227	answer	Common Verbs	7
228	approve	Common Verbs	8
229	argue	Common Verbs	10
230	ask	Common Verbs	7
231	break	Common Verbs	5
232	bring	Common Verbs	8
233	build	Common Verbs	6
234	buy	Common Verbs	9
235	call	Common Verbs	12
236	carry	Common Verbs	7
237	catch	Common Verbs	9
238	check	Common Verbs	11
239	climb	Common Verbs	5
240	close	Common Verbs	8
241	come	Common Verbs	6
242	copy	Common Verbs	8
243	cut	Common Verbs	8
244	dance	Common Verbs	7
245	decide	Common Verbs	9
246	describe	Common Verbs	7
247	develop	Common Verbs	8
248	discuss	Common Verbs	8
249	draw	Common Verbs	6
250	drink	Common Verbs	15
251	drive	Common Verbs	7
252	drop	Common Verbs	9
253	eat	Common Verbs	7
254	explain	Common Verbs	7
255	fight	Common Verbs	7
256	find	Common Verbs	8
257	fix	Common Verbs	6
258	fly	Common Verbs	8
259	follow	Common Verbs	9
260	forget	Common Verbs	7
261	give	Common Verbs	10
262	go	Common Verbs	15
263	hear	Common Verbs	9
264	hit	Common Verbs	6
265	hurry	Common Verbs	7
266	improve	Common Verbs	9
267	introduce	Common Verbs	6
268	invite	Common Verbs	5
269	jump	Common Verbs	6
270	know	Common Verbs	8
271	learn	Common Verbs	8
272	leave	Common Verbs	11
273	like	Common Verbs	10
274	listen	Common Verbs	7
275	lose	Common Verbs	9
276	make	Common Verbs	9
277	meet	Common Verbs	9
278	move	Common Verbs	10
279	open	Common Verbs	7
280	order	Common Verbs	10
281	organize	Common Verbs	5
282	paint	Common Verbs	7
283	pass	Common Verbs	7
284	pay	Common Verbs	7
285	plan	Common Verbs	7
286	practice	Common Verbs	9
287	prepare	Common Verbs	7
288	pull	Common Verbs	9
289	push	Common Verbs	6
290	put	Common Verbs	6
291	receive	Common Verbs	5
292	refuse	Common Verbs	6
293	remember	Common Verbs	7
294	ride	Common Verbs	8
295	rise	Common Verbs	7
296	run	Common Verbs	7
297	save	Common Verbs	8
298	say	Common Verbs	6
299	search	Common Verbs	5
300	see	Common Verbs	5
301	sell	Common Verbs	7
302	send	Common Verbs	5
303	share	Common Verbs	7
304	show	Common Verbs	9
305	sing	Common Verbs	5
306	sit	Common Verbs	6
307	sleep	Common Verbs	6
308	stand	Common Verbs	5
309	steal	Common Verbs	7
310	stop	Common Verbs	5
311	suggest	Common Verbs	6
312	take	Common Verbs	11
313	talk	Common Verbs	7
314	tell	Common Verbs	10
315	think	Common Verbs	7
316	throw	Common Verbs	7
317	trust	Common Verbs	6
318	visit	Common Verbs	9
319	wait	Common Verbs	10
320	walk	Common Verbs	11
321	warn	Common Verbs	5
322	win	Common Verbs	7
323	work	Common Verbs	10
324	announce	Communication Verbs	5
325	convince	Communication Verbs	10
326	disagree	Communication Verbs	5
327	inform	Communication Verbs	9
328	promise	Communication Verbs	5
329	sign language	Communication Verbs	5
330	translate	Communication Verbs	7
331	about	Conjunctions & Connectors	7
332	against	Conjunctions & Connectors	5
333	also	Conjunctions & Connectors	7
334	and	Conjunctions & Connectors	5
335	another	Conjunctions & Connectors	5
336	any	Conjunctions & Connectors	5
337	around	Conjunctions & Connectors	5
338	because	Conjunctions & Connectors	10
339	between	Conjunctions & Connectors	6
340	but	Conjunctions & Connectors	7
341	during	Conjunctions & Connectors	5
342	every	Conjunctions & Connectors	5
343	for	Conjunctions & Connectors	5
344	from	Conjunctions & Connectors	7
345	if	Conjunctions & Connectors	6
346	in	Conjunctions & Connectors	7
347	instead	Conjunctions & Connectors	5
348	not	Conjunctions & Connectors	7
349	on	Conjunctions & Connectors	5
350	out	Conjunctions & Connectors	5
351	some	Conjunctions & Connectors	7
352	then	Conjunctions & Connectors	5
353	through	Conjunctions & Connectors	5
354	to	Conjunctions & Connectors	7
355	until	Conjunctions & Connectors	7
356	with	Conjunctions & Connectors	8
357	without	Conjunctions & Connectors	7
358	brush	Daily Activities	7
359	comb	Daily Activities	6
360	cook	Daily Activities	8
361	exercise	Daily Activities	5
362	get up	Daily Activities	6
363	play	Daily Activities	11
364	read	Daily Activities	6
365	rest	Daily Activities	6
366	teach	Daily Activities	7
367	wake up	Daily Activities	5
368	wash	Daily Activities	6
369	watch	Daily Activities	8
370	write	Daily Activities	10
371	above	Directions	5
372	across	Directions	6
373	back	Directions	7
374	behind	Directions	5
375	below	Directions	6
376	bottom	Directions	8
377	center	Directions	7
378	down	Directions	8
379	east	Directions	8
380	far	Directions	11
381	front	Directions	8
382	inside	Directions	6
383	left	Directions	5
384	middle	Directions	7
385	near	Directions	9
386	north	Directions	7
387	outside	Directions	9
388	side	Directions	5
389	south	Directions	7
390	top	Directions	6
391	up	Directions	7
392	west	Directions	8
393	beer	Drinks	8
394	coffee	Drinks	7
395	milk	Drinks	5
396	soda	Drinks	6
397	tea	Drinks	7
398	water	Drinks	9
399	wine	Drinks	5
400	accident	Emergency	13
401	arrest	Emergency	6
402	crash	Emergency	9
403	danger	Emergency	5
404	escape	Emergency	8
405	police	Emergency	8
406	rob	Emergency	8
407	shock	Emergency	9
408	siren	Emergency	6
409	war	Emergency	7
410	afraid	Emotions	5
411	angry	Emotions	7
412	bored	Emotions	7
413	calm	Emotions	7
414	confused	Emotions	6
415	cry	Emotions	10
416	curious	Emotions	6
417	depressed	Emotions	5
418	embarrass	Emotions	6
419	excited	Emotions	6
420	guilty	Emotions	7
421	happy	Emotions	8
422	hope	Emotions	9
423	jealous	Emotions	8
424	joy	Emotions	5
425	laugh	Emotions	11
426	lonely	Emotions	6
427	love	Emotions	7
428	nervous	Emotions	7
429	pity	Emotions	5
430	proud	Emotions	5
431	sad	Emotions	8
432	shame	Emotions	5
433	smile	Emotions	7
434	tired	Emotions	7
435	worry	Emotions	5
436	aunt	Family	7
437	brother	Family	11
438	cousin	Family	14
439	dad	Family	7
440	daughter	Family	10
441	family	Family	11
442	father	Family	7
443	grandfather	Family	7
444	grandmother	Family	7
445	husband	Family	7
446	mom	Family	7
447	mother	Family	11
448	nephew	Family	6
449	niece	Family	7
450	sister	Family	7
451	son	Family	10
452	uncle	Family	6
453	wife	Family	8
454	apple	Food	11
455	bacon	Food	7
456	banana	Food	9
457	bread	Food	7
458	breakfast	Food	5
459	butter	Food	6
460	cake	Food	8
461	candy	Food	13
462	carrot	Food	9
463	cereal	Food	8
464	cheese	Food	7
465	chicken	Food	5
466	cookie	Food	8
467	corn	Food	12
468	dessert	Food	8
469	dinner	Food	7
470	egg	Food	7
471	fish	Food	10
472	food	Food	7
473	french fries	Food	6
474	fruit	Food	7
475	grapes	Food	7
476	hot dog	Food	5
477	ice cream	Food	7
478	lemon	Food	8
479	lettuce	Food	7
480	lunch	Food	6
481	meat	Food	8
482	mushroom	Food	5
483	onion	Food	8
484	peach	Food	6
485	peanut butter	Food	5
486	pepper	Food	7
487	pizza	Food	12
488	potato	Food	8
489	salad	Food	6
490	salt	Food	8
491	sandwich	Food	10
492	shrimp	Food	6
493	soup	Food	6
494	strawberry	Food	8
495	sugar	Food	7
496	toast	Food	10
497	tomato	Food	8
498	vegetable	Food	5
499	bye	Greetings	5
500	good	Greetings	10
501	goodbye	Greetings	5
502	please	Greetings	7
503	sign	Greetings	9
504	sorry	Greetings	7
505	thank you	Greetings	7
506	welcome	Greetings	5
507	basement	Home	6
508	bathroom	Home	7
509	bed	Home	13
510	bedroom	Home	6
511	blanket	Home	10
512	cabinet	Home	5
513	ceiling	Home	6
514	chair	Home	7
515	closet	Home	5
516	couch	Home	5
517	dining room	Home	5
518	door	Home	7
519	drawer	Home	7
520	floor	Home	6
521	home	Home	7
522	house	Home	7
523	kitchen	Home	7
524	pillow	Home	7
525	room	Home	11
526	shelf	Home	5
527	shower	Home	5
528	soap	Home	7
529	stairs	Home	6
530	table	Home	5
531	toilet	Home	5
532	towel	Home	5
533	wall	Home	5
534	window	Home	6
535	allergy	Medical	8
536	appointment	Medical	10
537	arm	Medical	7
538	blind	Medical	8
539	blood	Medical	5
540	cough	Medical	6
541	deaf	Medical	11
542	dentist	Medical	8
543	diabetes	Medical	5
544	doctor	Medical	10
545	ear	Medical	8
546	eye	Medical	6
547	headache	Medical	9
548	health	Medical	6
549	hearing	Medical	8
550	hearing aid	Medical	5
551	heart	Medical	8
552	hospital	Medical	7
553	hurt	Medical	5
554	infection	Medical	6
555	medicine	Medical	8
556	mouth	Medical	5
557	muscle	Medical	5
558	neck	Medical	6
559	nose	Medical	6
560	nurse	Medical	6
561	pain	Medical	5
562	patient	Medical	7
563	recover	Medical	6
564	skin	Medical	6
565	sore throat	Medical	6
566	stomach	Medical	7
567	surgery	Medical	7
568	temperature	Medical	8
569	therapy	Medical	6
570	thermometer	Medical	5
571	tongue	Medical	5
572	tooth	Medical	6
573	vomit	Medical	9
574	cloud	Nature & Weather	8
575	flower	Nature & Weather	7
576	grass	Nature & Weather	5
577	leaf	Nature & Weather	6
578	lightning	Nature & Weather	6
579	moon	Nature & Weather	7
580	rain	Nature & Weather	7
581	sky	Nature & Weather	8
582	snow	Nature & Weather	10
583	star	Nature & Weather	7
584	sun	Nature & Weather	6
585	tree	Nature & Weather	6
586	warm	Nature & Weather	5
587	wind	Nature & Weather	8
588	double	Numbers	6
589	eight	Numbers	6
590	eighteen	Numbers	6
591	five	Numbers	5
592	four	Numbers	5
593	half	Numbers	5
594	nine	Numbers	5
595	nineteen	Numbers	6
596	one	Numbers	8
597	quarter	Numbers	5
598	seven	Numbers	6
599	six	Numbers	6
600	sixteen	Numbers	6
601	ten	Numbers	5
602	thousand	Numbers	6
603	three	Numbers	7
604	two	Numbers	6
605	adult	People	7
606	baby	People	9
607	boy	People	8
608	child	People	9
609	children	People	7
610	friend	People	7
611	girl	People	9
612	man	People	12
613	member	People	5
614	neighbor	People	7
615	people	People	6
616	person	People	7
617	visitor	People	5
618	woman	People	11
619	apartment	Places	6
620	church	Places	6
621	earth	Places	6
622	farm	Places	8
623	forest	Places	7
624	island	Places	6
625	mountain	Places	5
626	museum	Places	5
627	ocean	Places	5
628	prison	Places	6
629	restaurant	Places	7
630	river	Places	5
631	stadium	Places	6
632	fine	Polite Expressions	9
633	help	Polite Expressions	14
634	honest	Polite Expressions	5
635	no	Polite Expressions	11
636	ok	Polite Expressions	7
637	right	Polite Expressions	9
638	true	Polite Expressions	5
639	wrong	Polite Expressions	8
640	yes	Polite Expressions	12
641	her	Pronouns	8
642	herself	Pronouns	7
643	my	Pronouns	6
644	myself	Pronouns	6
645	she	Pronouns	6
646	their	Pronouns	5
647	themselves	Pronouns	7
648	they	Pronouns	5
649	we	Pronouns	7
650	you	Pronouns	8
651	your	Pronouns	6
652	yourself	Pronouns	5
653	all	Quantifiers & Determiners	8
654	almost	Quantifiers & Determiners	5
655	both	Quantifiers & Determiners	6
656	enough	Quantifiers & Determiners	5
657	few	Quantifiers & Determiners	5
658	less	Quantifiers & Determiners	5
659	many	Quantifiers & Determiners	10
660	more	Quantifiers & Determiners	8
661	most	Quantifiers & Determiners	7
662	much	Quantifiers & Determiners	6
663	none	Quantifiers & Determiners	7
664	only	Quantifiers & Determiners	6
665	other	Quantifiers & Determiners	5
666	together	Quantifiers & Determiners	6
667	how	Questions	9
668	question	Questions	5
669	what	Questions	12
670	when	Questions	8
671	where	Questions	7
672	which	Questions	6
673	who	Questions	14
674	why	Questions	11
675	celebrate	Religion & Culture	6
676	christmas	Religion & Culture	8
677	easter	Religion & Culture	7
678	funeral	Religion & Culture	5
679	god	Religion & Culture	7
680	parade	Religion & Culture	6
681	pray	Religion & Culture	6
682	religion	Religion & Culture	7
683	spirit	Religion & Culture	7
684	thanksgiving	Religion & Culture	13
685	tradition	Religion & Culture	5
686	algebra	School	5
687	biology	School	6
688	book	School	6
689	calculator	School	5
690	calculus	School	5
691	chemistry	School	6
692	class	School	9
693	college	School	7
694	curriculum	School	6
695	diploma	School	5
696	eraser	School	5
697	geography	School	7
698	graduate	School	10
699	grammar	School	9
700	homework	School	5
701	keyboard	School	6
702	lecture	School	7
703	lesson	School	6
704	library	School	5
705	linguistics	School	7
706	paper	School	8
707	pencil	School	5
708	physics	School	6
709	principal	School	5
710	professor	School	5
711	project	School	7
712	research	School	7
713	school	School	9
714	score	School	11
715	student	School	8
716	study	School	10
717	teacher	School	8
718	test	School	8
719	university	School	7
720	auction	Shopping	5
721	cent	Shopping	6
722	dollar	Shopping	8
723	price	Shopping	6
724	shop	Shopping	6
725	store	Shopping	7
726	trade	Shopping	13
727	baseball	Sports	6
728	basketball	Sports	12
729	champion	Sports	11
730	football	Sports	9
731	golf	Sports	7
732	race	Sports	6
733	soccer	Sports	5
734	swimming	Sports	6
735	tennis	Sports	6
736	tournament	Sports	7
737	trophy	Sports	5
738	volleyball	Sports	5
739	laptop	Technology	6
740	microphone	Technology	5
741	network	Technology	6
742	printer	Technology	6
743	afternoon	Time	7
744	ago	Time	9
745	anniversary	Time	5
746	april	Time	5
747	august	Time	6
748	autumn	Time	7
749	date	Time	5
750	december	Time	5
751	friday	Time	6
752	hour	Time	7
753	january	Time	5
754	june	Time	5
755	march	Time	7
756	minute	Time	9
757	monday	Time	6
758	month	Time	7
759	morning	Time	6
760	night	Time	5
761	november	Time	5
762	october	Time	5
763	saturday	Time	7
764	second	Time	6
765	september	Time	5
766	since	Time	8
767	spring	Time	6
768	summer	Time	7
769	sunday	Time	8
770	thursday	Time	11
771	tuesday	Time	7
772	wednesday	Time	8
773	week	Time	9
774	winter	Time	6
775	year	Time	10
776	airplane	Transportation	7
777	arrive	Transportation	8
778	bicycle	Transportation	6
779	boat	Transportation	8
780	bus	Transportation	5
781	car	Transportation	7
782	highway	Transportation	7
783	motorcycle	Transportation	7
784	street	Transportation	6
785	subway	Transportation	5
786	traffic	Transportation	6
787	train	Transportation	9
788	travel	Transportation	9
789	truck	Transportation	6
790	boss	Workplace	7
791	business	Workplace	7
792	email	Workplace	6
793	interview	Workplace	5
794	manager	Workplace	5
795	meeting	Workplace	6
796	office	Workplace	9
797	presentation	Workplace	8
798	resign	Workplace	5
799	retire	Workplace	7
800	salary	Workplace	5
801	schedule	Workplace	5
802	worker	Workplace	5
